,type,department,semester,section,gender,age,height,weight,bmi,bmi_type,fav_sport,act_level,meals,sleep,current_btype,goal,actual_current_btype,goal_suggested
42,Faculty,CSE,,NONE,Female,43,1.6764,63,22.41740020670124,healthy,Cricket,moderate,2,6,fit,Lose-Weight,fit,Get FIT
43,Student,CSE,6th,B,Male,20,1.8034,58,17.833798809831308,underweight,Cricket,moderate,2,6,skinny,Gain-weight,weak,Gain-weight
44,Student,CSE,6th,B,Female,21,1.6002,42,16.402149206414816,underweight,Gym,very high,3,8,skinny,Gain-weight,weak,Gain-weight
45,Student,CSE,6th,A,Male,21,1.7526,73,23.766063075079312,healthy,Gym,very high,2,7,fit but also fat,Lose-Weight,fit,Get FIT
46,Student,CSE,6th,B,Female,20,1.5748,52,20.967783871051612,healthy,Gym,very high,2,7,fit,Get FIT,fit,Get FIT
47,Student,CSE,6th,A,Female,20,1.6002,48,18.74531337875979,healthy,Cricket,low,2,7,fit,Get FIT,skinny,Get FIT
48,Student,CSE,,NONE,Female,20,1.651,70,25.68052473383053,over-weight,Gym,high moderate,4,8,fit but also fat,Lose-Weight,fit but also fat,Lose-Weight
49,Student,CSE,,NONE,Male,18,1.778,68,21.510247102126854,healthy,Gym,high moderate,4,8,fit,Gain-weight,fit,Get FIT
50,Student,CSE,,NONE,Female,18,1.7272,70,23.46457980113192,healthy,Basketball,moderate,2,8,fit but also fat,Lose-Weight,fit,Get FIT
51,Student,CSE,,NONE,Male,17,1.8034,70,21.52355028772744,healthy,Gym,moderate,3,8,fit but also fat,Lose-Weight,fit,Get FIT
52,Student,CSE,2nd,NONE,Male,20,1.7272,60,20.112496972398787,healthy,Cricket,moderate,3,8,skinny,Get FIT,fit,Get FIT
53,Student,CSE,,NONE,Male,19,1.7526,79,25.719438122346105,over-weight,Cricket,moderate,3,7,fit but also fat,Get FIT,fit but also fat,Lose-Weight
54,Student,CSE,,NONE,Male,20,1.7018,50,17.264458676834483,underweight,Football,high moderate,3,7,fit,Gain-weight,weak,Gain-weight
55,Student,CSE,,NONE,Female,17,1.7018,65,22.44379627988483,healthy,Cricket,low,0,8,fit but also fat,Lose-Weight,fit,Get FIT
56,Student,CSE,2nd,NONE,Female,18,1.7272,70,23.46457980113192,healthy,Gym,moderate,2,5,fit,Get FIT,fit,Get FIT
57,Student,CSE,,NONE,Male,17,1.7018,50,17.264458676834483,underweight,Football,high moderate,4,7,weak,Get FIT,weak,Gain-weight
58,Student,CSE,,NONE,Male,18,1.651,60,22.011878343283314,healthy,Cricket,moderate,5,6,weak,Get FIT,fit,Get FIT
59,Student,CSE,,NONE,Male,18,1.8034,50,15.373964491233885,underweight,Volleyball,moderate,2,8,weak,Gain-weight,weak,Gain-weight
60,Student,CSE,,NONE,Male,18,1.6256,60,22.705123535247072,healthy,Cricket,moderate,3,7,fit,Get FIT,fit,Get FIT
61,Student,CSE,,NONE,Male,19,1.6256,70,26.489310791121582,over-weight,Badminton,low,3,6,fat,Get FIT,fit but also fat,Lose-Weight
62,Student,CSE,,NONE,Male,17,1.651,56,20.544419787064424,healthy,Badminton,low,3,8,fit,Get FIT,fit,Get FIT
63,Student,CSE,2nd,NONE,Female,17,1.5748,55,22.17746370976613,healthy,Listening songs ,moderate,3,8,fit but also fat,Lose-Weight,fit,Get FIT
64,Student,CSE,,NONE,Male,17,1.778,80,25.306173061325712,over-weight,Cricket,moderate,3,8,fit but also fat,Lose-Weight,fit but also fat,Lose-Weight
65,Student,CSE,2nd,A,Female,18,1.651,50,18.343231952736094,healthy,Volleyball,very high,4,6,fit,Gain-weight,skinny,Get FIT
66,Student,CSE,,NONE,Male,18,1.8288,72,21.527820833419444,healthy,Gym,high moderate,3,7,fit,Gain-weight,fit,Get FIT
67,Student,CSE,,NONE,Male,19,1.8034,56,17.21884023018195,underweight,Basketball,moderate,3,8,skinny,Gain-weight,weak,Gain-weight
68,Student,ME,,NONE,Male,19,1.8288,87,26.012783507048496,over-weight,Gym,low,4,8,fit but also fat,Gain-weight,fit but also fat,Lose-Weight
69,Student,CSE,6th,A,Female,19,1.6256,50,18.920936279372558,healthy,Football,moderate,4,8,fit,Get FIT,skinny,Get FIT
70,Student,CSE,,NONE,Female,18,1.5748,69,27.822636290433874,over-weight,Basketball,high moderate,3,6,fat,Get FIT,fit but also fat,Lose-Weight
71,Student,CSE,,NONE,Male,19,1.7526,75,24.41718809083491,over-weight,Cricket,high moderate,2,8,fit but also fat,Get FIT,fit but also fat,Lose-Weight
72,Student,CSE,,A,Female,20,1.5748,75,30.241995967862906,obese,Gym,very high,3,7,fat,Lose-Weight,fat,Lose-Weight
73,Student,CSE,,NONE,Male,19,1.6256,72,27.246148242296485,over-weight,Cricket,low,2,8,fit,Get FIT,fit but also fat,Lose-Weight
74,Student,CSE,2nd,NONE,Male,19,1.7272,71,23.799788084005232,healthy,Cricket,very high,2,7,fit,Get FIT,fit,Get FIT
75,Student,CSE,,NONE,Male,18,1.7018,52,17.955037023907863,underweight,Gym,high moderate,3,6,weak,Gain-weight,weak,Gain-weight
76,Student,ME,,NONE,Male,20,1.7018,68,23.479663800494897,healthy,Gym and boxing n kabaddi,very high,3,8,fit but also fat,Get FIT,fit,Get FIT
77,Student,CSE,6th,B,Male,21,1.6764,70,24.908222451890268,over-weight,Swimming,very high,3,6,fit,Lose-Weight,fit but also fat,Lose-Weight
78,Student,CSE,,NONE,Male,17,1.6764,53,18.85908271357406,healthy,Cricket,moderate,3,6,fit,Gain-weight,skinny,Get FIT
79,Student,CSE,,NONE,Female,18,1.5494,35,14.57944329487154,underweight,Kho-Kho,moderate,3,8,weak,Gain-weight,weak,Gain-weight
80,Student,CSE,2nd,NONE,Female,19,1.5494,45,18.744998521977692,healthy,Badminton,low,3,8,fit,Gain-weight,skinny,Get FIT
81,Student,CSE,6th,B,Male,20,1.7018,73,25.206109668178346,over-weight,Gym,low,3,8,fit,Get FIT,fit but also fat,Lose-Weight
82,Student,CSE,6th,A,Female,21,1.6256,50,18.920936279372558,healthy,Gym,low,4,8,fat,Lose-Weight,skinny,Get FIT
83,Faculty,CSE,,NONE,Female,28,1.5748,50,20.161330645241936,healthy,None,moderate,3,8,fit,Get FIT,fit,Get FIT
84,Student,CSE,,NONE,Male,18,1.7272,52,17.430830709412284,underweight,Volleyball,moderate,3,7,fit,Gain-weight,weak,Gain-weight
85,Student,CSE,6th,A,Female,20,1.6764,50,17.791587465635907,underweight,Cricket,low,3,7,fit,Get FIT,weak,Gain-weight
